score,match_label,tier,company,title,department,location,posted,match_path,score_detail,url,ats
17,Strong,T1,Eli Lilly,"Senior Director, DDCS Data Sciences & Digital Transformation",,"US, Indianapolis IN",,D1-title,Seniority=5 | Title=7 | Clusters=4 | Dept=0 | Tier=1,https://careers.lilly.com/job/US-Indianapolis-IN/Senior-Director--DDCS-Data-Sciences---Digital-Transformation_R-101573-1,Workday
15,Strong,T2,Regeneron,"Senior Director, External Data Acquisition & Delivery",,3 Locations,,D1-title,Seniority=5 | Title=7 | Clusters=2 | Dept=0 | Tier=1,https://careers.regeneron.com/job/Warren/Senior-Director--External-Data-Acquisition---Delivery_R45856,Workday
14,Good,T1,Eli Lilly,Associate Director - Enterprise Data Platforms Operations,,"US, Indianapolis IN",,D1-title,Seniority=2 | Title=7 | Clusters=4 | Dept=0 | Tier=1,https://careers.lilly.com/job/US-Indianapolis-IN/Associate-Director---Enterprise-Data-Platforms-Operations_R-100827-1,Workday
14,Good,T1,Johnson & Johnson,"Director, R&D Data Science, Data Products - Oncology",,"Titusville, New Jersey, United States of America",,D1-title,Seniority=4 | Title=7 | Clusters=2 | Dept=0 | Tier=1,https://jobs.jnj.com/job/Titusville-New-Jersey-United-States-of-America/Director--R-D-Data-Science--Data-Products---Oncology_R-035883,Workday
14,Good,T1,Johnson & Johnson,"Senior Director, R&D Data Science & Digital Health, Real-World Evidence (RWE), Across Therapeutic Areas",,5 Locations,,D1-title,Seniority=5 | Title=7 | Clusters=1 | Dept=0 | Tier=1,https://jobs.jnj.com/job/Titusville-New-Jersey-United-States-of-America/Senior-Director--R-D-Data-Science---Digital-Health--Real-World-Evidence--RWE---Across-Therapeutic-Areas_R-035916,Workday
14,Good,T1,Johnson & Johnson,"Senior Director, R&D Data Science & Digital Health –  Ophthalmology",,4 Locations,,D1-title,Seniority=5 | Title=7 | Clusters=1 | Dept=0 | Tier=1,https://jobs.jnj.com/job/Cambridge-Massachusetts-United-States-of-America/Senior-Director--R-D-Data-Science---Digital-Health----Ophthalmology_R-037220,Workday
14,Good,T2,Exelixis,"Senior Director, Clinical Data Management",,"Alameda, CA",,D1-title,Seniority=5 | Title=7 | Clusters=1 | Dept=0 | Tier=1,https://exelixis.com/careers/job/Alameda-CA/Senior-Director--Clinical-Data-Management_JR6537,Workday
14,Good,T2,Neurocrine Biosciences,"Sr. Director, Data Platforms and Research Solutions - Remote eligible",,US CA San Diego,,D1-title,Seniority=4 | Title=7 | Clusters=2 | Dept=0 | Tier=1,https://www.neurocrine.com/careers/job/US-CA-San-Diego/Sr-Director--Data-Platforms-and-Research-Solutions---Remote-eligible_R6538,Workday
14,Good,T2,Regeneron,"Senior Director, Digital Transformation Operations Lead",,4 Locations,,D1-title,Seniority=5 | Title=7 | Clusters=1 | Dept=0 | Tier=1,https://careers.regeneron.com/job/TARRYTOWN/Senior-Director--Digital-Transformation-Operations-Lead_R45895,Workday
14,Good,T2,Vertex Pharmaceuticals,"Director, Data Governance & Engineering, Research",,"Boston, MA",,D1-title,Seniority=4 | Title=7 | Clusters=2 | Dept=0 | Tier=1,https://www.vrtx.com/careers/job/Boston-MA/Director--Engineering-and-Data-Governance--Research_REQ-26337,Workday
13,Good,T1,Eli Lilly,Director/Senior Director/ Executive Director: Digital Innovation & Technology Strategy – Global PK/PD & Pharmacometrics,,2 Locations,,D1-title,Seniority=5 | Title=4 | Clusters=3 | Dept=0 | Tier=1,https://careers.lilly.com/job/US-Indianapolis-IN/Digital-Innovation---Technology-Strategy---Global-PK-PD---Pharmacometrics_R-99374,Workday
13,Good,T1,Takeda,Head of Global Medical Evidence Generation,,USA - MA - Cambridge - Kendall Square - 500,,D1-title,Seniority=4 | Title=7 | Clusters=1 | Dept=0 | Tier=1,https://www.takeda.com/careers/job/USA---MA---Cambridge---Kendall-Square---500/Head-of-Global-Evidence-Generation_R0173233-1,Workday
